"Trait","Number of DGRP lines measured","Sex","Trait guild","Trait description","Reference"
"wing.centroid.size.2019_Houle.f","184","Female","Morphological","Mean wing centroid size for flies measured in the Houle lab. Higher values indicate larger wings.","Pitchers et al (2019) Evolution"
"wing.centroid.size.2019_Houle.m","185","Male","Morphological","Mean wing centroid size for flies measured in the Houle lab. Higher values indicate larger wings.","Pitchers et al (2019) Evolution"
"wing.centroid.size.f","149","Female","Morphological","Mean wing centroid size. Higher values indicate lines with larger wings, which can be used as a proxy for body size.","Vonesch et al (2016) PLOS Genetics"
"wing.centroid.size.m","149","Male","Morphological","Mean wing centroid size. Higher values indicate lines with larger wings, which can be used as a proxy for body size.","Vonesch et al (2016) PLOS Genetics"
"wing.display.frequency.m","166","Male","Behavioural","Mean number of times a DGRP male extended their wing at a 90 degree angle in rapid vibration while in the presence of a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater number of wing displays, and potentially more persistent courtship.","Gaertner et al (2015) G3"
"wing.imaginal.disk.size.absolute.f","32","Female","Morphological","Wing imaginal disk size in third instar larvae – measured as absolute centroid size. Larger values indicate larger wing disks.","Okada et al (2016) Nature Communications & Okada et al (2019) Molecular Systems Biology"
"wing.imaginal.disk.size.absolute.m","32","Male","Morphological","Wing imaginal disk size in third instar larvae – measured as absolute centroid size. Larger values indicate larger wing disks.","Okada et al (2016) Nature Communications & Okada et al (2019) Molecular Systems Biology"
"wing.imaginal.disk.size.relative.f","32","Female","Morphological","Wing imaginal disk size in third instar larvae – measured as centroid size after controlling for body size. Larger values indicate larger wing disks relative to body size.","Okada et al (2016) Nature Communications & Okada et al (2019) Molecular Systems Biology"
"wing.imaginal.disk.size.relative.m","32","Male","Morphological","Wing imaginal disk size in third instar larvae – measured as centroid size after controlling for body size. Larger values indicate larger wing disks relative to body size.","Okada et al (2016) Nature Communications & Okada et al (2019) Molecular Systems Biology"
"wing.size.f","40","Female","Morphological","Mean centroid size - the square root of the sum of squared distances of a set of wing landmarks to the centroid of this landmark configuration. Higher values indicate larger wings.","Muñoz-Muñoz et al (2016) Evolution"
"wing.size.m","40","Male","Morphological","Mean centroid size - the square root of the sum of squared distances of a set of wing landmarks to the centroid of this landmark configuration. Higher values indicate larger wings.","Muñoz-Muñoz et al (2016) Evolution"
"wolbachia.copy.number","91","Both","Pathogen response","Mean copy number of Wolbachia genomes carried by adults, relative to a standard nuclear reference genome of equal size. Measured using whole genome shotgun sequencing, which is not tissue specific. Higher values indicate more Wolbachia genomes, which the authors suggest is a proxy for Wolbachia density. Note that only lines found to harbour Wolbachia are inlcuded in this dataset.","Richardson (2012) PLOS Genetics"
"Wolbachia.pipentis.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Wolbachia.pipentis.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Xanthomonas.sp..f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Xanthomonas.sp..m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Xanthomonas.vesicatoria.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Xanthomonas.vesicatoria.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"xanthosine.high.yeast.f","178","Female","Metabolome","Mean relative xanthosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"xanthosine.low.yeast.f","178","Female","Metabolome","Mean relative xanthosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"xanthurenate.high.yeast.f","178","Female","Metabolome","Mean relative xanthurenate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"xanthurenate.low.yeast.f","178","Female","Metabolome","Mean relative xanthurenate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"Yersinia.mollaretii.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Yersinia.mollaretii.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Yersinia.pekkanenii.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Yersinia.pekkanenii.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Zymomonas.mobilis.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
