Trait,Sex,Trait guild,Trait description,Reference
pantethine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
pantothenate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
pantothenate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
pentadecanoate (15:0).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
pentadecanoate (15:0).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phenylalanine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phenylalanine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phenylalanylalanine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phenylalanylalanine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phenylalanylglycine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phenylalanylglycine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phenyllactate (PLA).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phenyllactate (PLA).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phosphate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phosphate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phosphoenolpyruvate (PEP).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phosphoenolpyruvate (PEP).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phosphoethanolamine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phosphoethanolamine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phosphopantetheine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phosphopantetheine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phosphothreonine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phosphothreonine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phytosphingosine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
phytosphingosine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
pipecolate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
pipecolate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
